addr                 activations  total_active_ms  name
[0]                  405          4183.645         Dataflow
[0, 1]               2            0.000            Input
[0, 2]               3            0.039            FlatMap
[0, 3]               12           0.154            Arrange: ThresholdTotal
[0, 4]               4            0.055            ThresholdTotal
[0, 5]               4            0.025            FlatMap
[0, 6]               4            0.023            FlatMap
[0, 7]               6            0.067            Arrange: ThresholdTotal
[0, 8]               4            0.055            ThresholdTotal
[0, 9]               4            0.044            FlatMap
[0, 10]              7            0.165            ArrangeByKey
[0, 11]              326          3835.115         Iterative
[0, 11, 1]           4            0.003            FlatMap
[0, 11, 2]           4            0.004            Enter
[0, 11, 3]           22           0.570            Feedback
[0, 11, 4]           22           28.785           FlatMap
[0, 11, 5]           60           367.515          ArrangeByKey
[0, 11, 6]           45           345.638          Join
[0, 11, 7]           39           2.308            Concatenate
[0, 11, 8]           39           163.435          FlatMap
[0, 11, 9]           59           2302.105         Arrange: ThresholdTotal
[0, 11, 10]          35           609.905          ThresholdTotal
[0, 11, 11]          22           7.848            ResultsIn
[0, 12]              38           5.174            Leave
[0, 13]              22           23.367           FlatMap
[0, 14]              46           216.282          Arrange: ThresholdTotal
[0, 15]              3            68.353           ThresholdTotal
[0, 16]              3            8.318            FlatMap
[0, 17]              3            8.187            FlatMap
[0, 18]              3            14.834           FlatMap
[0, 19]              3            0.006            Consolidate
[0, 20]              2            0.001            AsCollection
[0, 21]              2            0.001            InspectBatch
